APPCH:010,A,L20,EAS1,EAS,EG,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:020,A,L20,EAS1,D219G,EG,P,C,EY  , ,   ,CF, ,SAM,EG,D, ,      ,0365,0071,0390,0074,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,L20,EAS1,CF20,EG,P,C,EE  ,L,   ,CF,Y,ISN,EG,P,I,      ,0184,0082,1980,0010,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,L20,EAS2,EAS,EG,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:020,A,L20,EAS2,D212G,EG,P,C,EY  , ,   ,CF, ,SAM,EG,D, ,      ,0292,0071,0320,0074,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,L20,EAS2,CF20,EG,P,C,EE  ,L,   ,CF,Y,ISN,EG,P,I,      ,0184,0082,1980,0010,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,L,L20, ,CF20,EG,P,C,E  I, ,   ,IF, ,ISN,EG,P,I,      ,0184,0082,    ,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,L,L20, ,FI20,EG,P,C,E  F, ,   ,CF, ,ISN,EG,P,I,      ,0184,0062,1980,0020,+,01800,     ,     , ,   ,    ,   ,EAS,EG,P,N, ,0,D,S;
APPCH:025,L,L20, ,30LOC,EG,P,C,E S , ,   ,CF, ,ISN,EG,P,I,      ,0184,0040,1980,0022,+,01080,     ,     , ,   ,-310,   , , , , , ,0,D,S;
APPCH:030,L,L20, ,RW20,EG,P,G,G  M, ,   ,CF, ,ISN,EG,P,I,      ,0184,0010,1980,0030, ,00095,     ,     , ,   ,-310,   , , , , , ,0,D,S;
APPCH:040,L,L20, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1980,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,L,L20, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1980,    , ,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,Q02,EAS1,EAS,EG,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q02,EAS1,EAS,EG,P,N,EY  , ,   ,FC, ,SAM,EG,D, ,      ,2672,0004,1780,0078,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,Q02,EAS1,FN02,EG,P,C,EE  ,R,   ,CF,Y,SAM,EG,D, ,      ,1989,0059,0150,0020,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,Q02,EAS2,EAS,EG,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q02,EAS2,EAS,EG,P,N,EY  , ,   ,FC, ,SAM,EG,D, ,      ,2672,0004,1840,0078,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,Q02,EAS2,FN02,EG,P,C,EE  ,R,   ,CF,Y,SAM,EG,D, ,      ,1989,0059,0150,0020,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,Q,Q02, ,FN02,EG,P,C,E  F, ,   ,IF, ,EAS,EG,P,N,      ,    ,    ,    ,    ,+,01700,     ,     , ,   ,    ,   ,EAS,EG,P,N, ,0, ,S;
APPCH:030,Q,Q02, ,MN02,EG,P,C,E  M, ,   ,CF, ,SAM,EG,D, ,      ,    ,0018,0150,0041, ,00380,     ,     , ,   ,-302,   , , , , , ,0, ,S;
APPCH:040,Q,Q02, ,EAS,EG,P,N,EYM , ,   ,CF, ,SAM,EG,D, ,      ,2672,0004,0150,0016, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,Q,Q02, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0180,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,Q,Q02, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0180,    , ,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,Q20,EAS1,EAS,EG,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q20,EAS1,EAS,EG,P,N,EY  , ,   ,FC, ,SAM,EG,D, ,      ,2672,0004,0440,0074,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,Q20,EAS1,FN20,EG,P,C,EE  ,L,   ,CF,Y,SAM,EG,D, ,      ,0199,0052,2040,0030,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
