SID:010,2,LATR1A,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0850,    ,+,02500,     ,10000, ,   ,    ,   ,ZSN,UA,P,N, , , , ;
SID:020,2,LATR1A,RW09, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2840,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LATR1A,RW09,LATRI,UA,E,A,EEC , ,   ,CF, ,UKM,UA,D, ,      ,1415,1527,3240,0220,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LATR1B,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2650,    ,+,02500,     ,10000, ,   ,    ,   ,ZSN,UA,P,N, , , , ;
SID:020,2,LATR1B,RW27, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,0040,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LATR1B,RW27,LATRI,UA,E,A,EEC , ,   ,CF, ,UKM,UA,D, ,      ,1415,1527,3240,0230,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,LATR1C,RW09,LATRI,UA,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL120,     , ,   ,    ,   ,ZSN,UA,P,N, , , , ;
STAR:020,2,LATR1C,RW09,ZSN,UA,P,N,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,N09,ZSN,ZSN,UA,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,140,    ,   , , , , , ,0, ,S;
APPCH:020,A,N09,ZSN,ZSN,UA,P,N,EY  , ,   ,FC, ,ZSN,UA,D, ,      ,1168,0139,2790,0086,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N09,ZSN,FF09,UA,P,C,EE  ,L,   ,CF,Y,ZSN,UA,D, ,      ,1482,0076,0890,0010,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N09, ,FF09,UA,P,C,E  F, ,   ,IF, ,ZSN,UA,P,N,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   ,ZSN,UA,P,N, ,0, ,S;
APPCH:030,N,N09, ,RW09,UA,P,G,G  M, ,   ,CF, ,ZSN,UA,P,N,      ,    ,    ,0890,0081, ,01933,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N09, ,ZSN,UA,P,N,EYM , ,   ,CF, ,ZSN,UA,D, ,      ,1168,0139,0890,0004, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N09, ,ZSN,UA,P,N,EY  , ,   ,FC, ,ZSN,UA,D, ,      ,1168,0139,0890,0055,+,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N09, ,ZSN,UA,P,N,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW09 ,-1100,      ,01893, ,    , ,   ;N47291496,E084523996,0000;
RWY:RW27 ,+1100,      ,01855, ,    , ,   ;N47291497,E084535178,0000;
