SID:010,5,AMUD1A,RW22, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2220,    ,+,06800,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,AMUD1A,RW22,AMUDO,HA,E,A,EEC ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     ,-,185,    ,   , , , , , , , , ;
SID:010,5,AMUD1B,RW04, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0420,    ,+,06400,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,AMUD1B,RW04,AMUDO,HA,E,A,EEC , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,APDA1A,RW22, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2220,    ,+,06800,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,APDA1A,RW22,APDAN,HA,E,A,EEC ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     ,-,185,    ,   , , , , , , , , ;
SID:010,5,APDA1B,RW04,APDAN,HA,E,A,EEC , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:010,5,EGRU1A,RW22, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2220,    ,+,06800,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,EGRU1A,RW22,BD600,HA,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     ,-,185,    ,   , , , , , , , , ;
SID:030,5,EGRU1A,RW22,EGRUR,HA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EGRU1B,RW04, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0420,    ,+,06400,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,EGRU1B,RW04,BD600,HA,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EGRU1B,RW04,EGRUR,HA,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FIRK1A,RW22, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2220,    ,+,06800,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,FIRK1A,RW22,FIRKA,HA,E,A,EE  ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     ,-,185,    ,   , , , , , , , , ;
SID:010,5,FIRK1B,RW04, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0420,    ,+,06400,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,FIRK1B,RW04,FIRKA,HA,E,A,EE  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LABL1A,RW22, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2220,    ,+,06800,     ,14000, ,   ,    ,   ,BDR,HA,D, , , , , ;
SID:020,5,LABL1A,RW22,BD601,HA,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,185,    ,   , , , , , , , , ;
SID:030,5,LABL1A,RW22,BD602,HA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LABL1A,RW22,BD603,HA,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
