STAR:010,4,CLMNT3,BISKS,BISKS,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT3,BISKS,HEMSI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT3,BISKS,CLMNT,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,CLMNT3,CRANS,CRANS,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT3,CRANS,BISKS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT3,CRANS,HEMSI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,CLMNT3,CRANS,CLMNT,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,CLMNT3,DULEE,DULEE,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT3,DULEE,CRANS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT3,DULEE,BISKS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,CLMNT3,DULEE,HEMSI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,CLMNT3,DULEE,CLMNT,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,250,    ,   , , , , , , , , ;
STAR:010,5,CLMNT3,ALL,CLMNT,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,18000, ,250,    ,   , , , , , , , , ;
STAR:020,5,CLMNT3,ALL,MAZEL,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,CLMNT3,ALL,FRWAY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,CLMNT3,ALL,AMILA,K7,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,CLMNT3,ALL,06FA,K7,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,CPTAN4,BORRD,BORRD,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,CPTAN4,BORRD,FALTI,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:025,4,CPTAN4,BORRD,CAARL,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CPTAN4,BORRD,CPTAN,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,10000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,CPTAN4,KENLL,KENLL,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CPTAN4,KENLL,JOEYY,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CPTAN4,KENLL,ROTOW,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,CPTAN4,KENLL,STEPP,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,CPTAN4,KENLL,BORRD,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,280,    ,   , , , , , , , , ;
