APPCH:010,A,R03,KETAB,KETAB,FO,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R03,KETAB,EBRUN,FO,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R03,POLVU,POLVU,FO,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R03,POLVU,EBRUN,FO,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,R,R03, ,EBRUN,FO,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,R,R03, ,GO501,FO,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0250,0053, ,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R03, ,RW03,FO,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0250,0057, ,02193,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R03, ,GO502,FO,P,C,EYM , ,010,CF, ,DLA,FK,D, ,      ,1417,1812,0250,0050, ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:050,R,R03, ,POLVU,FO,P,C,EE H,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R21,DITGI,DITGI,FO,P,C,EE C,L,010,HF, , , , , ,      ,    ,    ,2050,T010,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R21,LUGRA,LUGRA,FO,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R21,LUGRA,DITGI,FO,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,A,R21,RIVAB,RIVAB,FO,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,A,R21,RIVAB,DITGI,FO,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:010,R,R21, ,DITGI,FO,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:020,R,R21, ,GO503,FO,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2050,0050, ,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R21, ,RW21,FO,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2050,0056, ,02213,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R21, ,GO504,FO,P,C,EYM , ,010,CF, ,DLA,FK,D, ,      ,1442,1855,2050,0050, ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
APPCH:050,R,R21, ,RIVAB,FO,P,C,EE  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW03 ,     ,      ,02144, ,    , ,   ;N01320879,E011344105,0000;
RWY:RW21 ,     ,      ,02164, ,    , ,   ;N01330205,E011350524,0000;
