SID:010,4,EDF4,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0650,    ,+,00720,     ,18000, ,   ,    ,   ,PAED,PA,P,A, , , , ;
SID:020,4,EDF4,RW06,MOTTI,PA,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,EDF4,RW06,BGQ,PA,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,EDF4,RW34, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,00720,     ,18000, ,   ,    ,   ,PAED,PA,P,A, , , , ;
SID:020,4,EDF4,RW34,MOTTI,PA,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,EDF4,RW34,BGQ,PA,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,EEEGL6,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0650,    ,+,00620,     ,18000, ,   ,    ,   ,EDF,PA,D, ,A, , , ;
SID:020,1,EEEGL6,RW06, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,2950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,EEEGL6,RW06,BAXTE,PA,P,C,E   , ,   ,CF, ,EDF,PA,D, ,      ,3400,0090,3400,0060,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,EEEGL6,RW06,FIETR,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,EEEGL6,RW06,EEEGL,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,EEEGL6,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2450,    ,+,00620,     ,18000, ,   ,    ,   ,EDF,PA,D, ,A, , , ;
SID:020,1,EEEGL6,RW24, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0380,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,EEEGL6,RW24,FIETR,PA,P,C,E   , ,   ,CF, ,EDF,PA,D, ,      ,3400,0150,3400,0100,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,EEEGL6,RW24,EEEGL,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,EEEGL6,RW34, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3450,    ,+,00620,     ,18000, ,   ,    ,   ,EDF,PA,D, ,A, , , ;
SID:020,1,EEEGL6,RW34, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,EEEGL6,RW34,BAXTE,PA,P,C,E   , ,   ,CF, ,EDF,PA,D, ,      ,3400,0090,3400,0085,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
