SID:010,2,ETSB1C,RW03,DER03,ET,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,ETSB,ET,P,A, , , , ;
SID:020,2,ETSB1C,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0260,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ETSB1C,RW03, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0260,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ETSB2F,RW21,DER21,ET,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,ETSB,ET,P,A, , , , ;
SID:015,2,ETSB2F,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2070,    ,+,01970,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ETSB2F,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2020,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ETSB2F,RW21, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2020,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,T03,BUGAL,BUGAL,ET,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL120,FL070,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T03,BUGAL, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T03,BUGAL,D032R,ET,P,C,EY  ,L,   ,AF, ,BUE,ET,D, ,      ,0320,0180,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T03,BUGAL,D023J,ET,P,C,E   , ,   ,CF, ,BUE,ET,D, ,      ,0230,0100,2030,0083, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,T03,BUGAL,BUE,ET,D, ,V   , ,   ,CF, ,BUE,ET,D, ,      ,0000,0000,2030,0100, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,A,T03,BUGAL,BUE,ET,D, ,V   , ,   ,FD, ,BUE,ET,D, ,      ,0000,0000,1680,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,A,T03,BUGAL,D168J,ET,P,C,E   , ,   ,CF, ,BUE,ET,D, ,      ,1680,0100,1680,0030, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:080,A,T03,BUGAL,D191J,ET,P,C,EY  ,R,   ,AF, ,BUE,ET,D, ,      ,1910,0100,1680,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:090,A,T03,BUGAL,FT03,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,2080,0049,0280,0050,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T03, ,FT03,ET,P,C,E  F, ,   ,IF, ,BUE,ET,D, ,      ,2080,0049,    ,    ,+,02800,     ,     , ,   ,    ,   ,BUE,ET,D, , ,0,D,S;
APPCH:030,T,T03, ,MT03,ET,P,C,E  M, ,   ,CF, ,BUE,ET,D, ,      ,2080,0020,0280,0029, ,01899,     ,     , ,   ,-300,   , , , , , ,0,D,S;
