SID:010,4,ADBAS8,RW18L,SS301,ZS,P,C,E   , ,010,CF, ,SHA,ZS,D, ,      ,1843,0114,1840,0090,+,02960,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADBAS8,RW18L,SS302,ZS,P,C,E   ,R,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,4,ADBAS8,RW18L,SS303,ZS,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADBAS8,RW18R,SS301,ZS,P,C,E   , ,010,CF, ,SHA,ZS,D, ,      ,1843,0114,1830,0090,+,02960,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADBAS8,RW18R,SS302,ZS,P,C,E   ,R,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,4,ADBAS8,RW18R,SS303,ZS,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADBAS8,RW36L,DE36L,ZS,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADBAS8,RW36L, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ADBAS8,RW36L,SS503,ZS,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,ADBAS8,RW36L,SS504,ZS,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,ADBAS8,RW36L,SS303,ZS,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ADBAS8,RW36R,DE36R,ZS,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,ADBAS8,RW36R, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ADBAS8,RW36R,SS503,ZS,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
